"country","pop"
"French Southern and Antarctic Lands",140
"Falkland Islands",2931
"Antarctica",4050
"Greenland",57713
"Turkish Republic of Northern Cyprus",265100
"New Caledonia",279070
"Vanuatu",282814
"The Bahamas",329988
"Iceland",339747
"Belize",360346
"Brunei",443593
"Suriname",591919
"Luxembourg",594130
"Western Sahara",603253
"Montenegro",642550
"Solomon Islands",647581
"Guyana",737718
"Bhutan",758288
"Equatorial Guinea",778358
"Djibouti",865267
"Fiji",920938
"Trinidad and Tobago",1218208
"Cyprus",1221549
"Estonia",1251581
"East Timor",1291358
"eSwatini",1467152
"Gabon",1772255
"Guinea-Bissau",1792338
"Kosovo",1895250
"Latvia",1944643
"Lesotho",1958042
"Slovenia",1972126
"The Gambia",2051363
"Republic of Macedonia",2103721
"Botswana",2214858
"Qatar",2314307
"Namibia",2484780
"Lithuania",2823859
"Kuwait",2875422
"Jamaica",2990561
"Armenia",3045191
"Albania",3047987
"Mongolia",3068243
"Puerto Rico",3351827
"Uruguay",3360148
"Oman",3424386
"Moldova",3474121
"Somaliland",3500000
"Panama",3753142
"Mauritania",3758571
"Bosnia and Herzegovina",3856181
"Croatia",4292095
"New Zealand",4510327
"Palestine",4543126
"Liberia",4689021
"Georgia",4926330
"Costa Rica",4930258
"Republic of the Congo",4954674
"Ireland",5011102
"Norway",5320045
"Turkmenistan",5351277
"Slovakia",5445829
"Finland",5491218
"Denmark",5605948
"Central African Republic",5625118
"Kyrgyzstan",5789122
"Eritrea",5918919
"Nicaragua",6025951
"United Arab Emirates",6072475
"Sierra Leone",6163195
"El Salvador",6172011
"Lebanon",6229794
"Libya",6653210
"Papua New Guinea",6909701
"Paraguay",6943739
"Bulgaria",7101510
"Serbia",7111024
"Laos",7126706
"Somalia",7531386
"Togo",7965055
"Switzerland",8236303
"Israel",8299706
"Tajikistan",8468555
"Austria",8754413
"Honduras",9038741
"Belarus",9549747
"Hungary",9850845
"Sweden",9960487
"Azerbaijan",9961396
"Jordan",10248069
"Haiti",10646714
"Czech Republic",10674723
"Dominican Republic",10734247
"Greece",10768477
"Portugal",10839514
"Benin",11038805
"Bolivia",11138234
"Cuba",11147407
"Tunisia",11403800
"Burundi",11466756
"Belgium",11491346
"Rwanda",11901484
"Chad",12075985
"Guinea",12413867
"South Sudan",13026129
"Zimbabwe",13805084
"Senegal",14668522
"Guatemala",15460732
"Zambia",15972000
"Cambodia",16204486
"Ecuador",16290913
"Netherlands",17084719
"Chile",17789267
"Mali",17885245
"Syria",18028549
"Kazakhstan",18556698
"Malawi",19196246
"Niger",19245344
"Burkina Faso",20107509
"Romania",21529967
"Sri Lanka",22409381
"Australia",23232413
"Taiwan",23508428
"Ivory Coast",24184810
"Cameroon",24994885
"Madagascar",25054161
"North Korea",25248140
"Mozambique",26573706
"Ghana",27499924
"Yemen",28036829
"Saudi Arabia",28571770
"Angola",29310273
"Nepal",29384297
"Uzbekistan",29748859
"Peru",31036656
"Venezuela",31304016
"Malaysia",31381992
"Morocco",33986655
"Afghanistan",34124811
"Canada",35623680
"Sudan",37345935
"Poland",38476269
"Iraq",39192111
"Uganda",39570125
"Algeria",40969443
"Ukraine",44033874
"Argentina",44293293
"Kenya",47615739
"Colombia",47698524
"Spain",48958159
"South Korea",51181299
"Tanzania",53950935
"South Africa",54841552
"Myanmar",55123814
"Italy",62137802
"United Kingdom",64769452
"France",67106161
"Thailand",68414135
"Germany",80594017
"Turkey",80845215
"Iran",82021564
"Democratic Republic of the Congo",83301151
"Vietnam",96160163
"Egypt",97041072
"Philippines",104256076
"Ethiopia",105350020
"Mexico",124574795
"Japan",126451398
"Russia",142257519
"Bangladesh",157826578
"Nigeria",190632261
"Pakistan",204924861
"Brazil",207353391
"Indonesia",260580739
"United States of America",326625791
"India",1281935911
"People's Republic of China",1379302771
